driverID,first_name,last_name,email,contactnumber,address,license_number,license_expiry_date,employment_status,department,createddate
1019,Olivia,Young,olivia.young1019@fleetdemo.com,0432387747,206 Park St,LIC1019495,2026-06-17,Active,Sales,2026-06-26 14:29:21
1020,Jack,Smith,jack.smith1020@fleetdemo.com,0456914422,116 High St,LIC1020411,2026-06-16,Active,Operations,2026-03-03 14:02:55
1021,Ethan,White,ethan.white1021@fleetdemo.com,0479369438,132 Park St,LIC1021240,2026-05-14,Active,Service,2026-03-29 08:15:35
1022,Isla,Harris,isla.harris1022@fleetdemo.com,0455644879,24 Queen St,LIC1022618,2026-04-05,Active,Service,2026-04-13 17:46:17
1023,Lucas,Smith,lucas.smith1023@fleetdemo.com,0477182329,21 King St,LIC1023617,2026-03-19,Active,Operations,2026-03-17 09:43:59
1024,Liam,Harris,liam.harris1024@fleetdemo.com,0440994635,22 Park St,LIC1024424,2026-02-02,Active,Sales,2026-12-27 22:23:47
1025,Isla,Walker,isla.walker1025@fleetdemo.com,0428179252,202 High St,LIC1025604,2026-10-11,Active,Operations,2026-04-10 18:01:54
1026,Chloe,Harris,chloe.harris1026@fleetdemo.com,0475245916,88 High St,LIC1026329,2026-11-23,Active,Sales,2026-08-25 19:17:24
1027,Jack,Smith,jack.smith1027@fleetdemo.com,0490691336,156 High St,LIC1027451,2026-09-28,Active,Operations,2026-05-21 01:27:41
1028,Mason,Martin,mason.martin1028@fleetdemo.com,0458565486,246 High St,LIC1028423,2026-05-20,Active,Corporate,2026-05-14 05:18:06
1029,Ava,Taylor,ava.taylor1029@fleetdemo.com,0434249929,98 George St,LIC1029961,2026-06-11,Active,Service,2026-11-19 02:10:27
1030,Isla,Wilson,isla.wilson1030@fleetdemo.com,0485031799,97 Queen St,LIC1030170,2026-12-24,Active,Service,2026-07-15 06:42:40
1031,Mason,Harris,mason.harris1031@fleetdemo.com,0453249517,15 High St,LIC1031152,2026-08-16,Active,Operations,2026-06-30 19:13:22
1032,Grace,King,grace.king1032@fleetdemo.com,0453579843,63 High St,LIC1032372,2026-11-23,Active,Service,2026-04-07 11:22:47
1033,Chloe,Martin,chloe.martin1033@fleetdemo.com,0477242519,148 Queen St,LIC1033445,2026-01-19,Active,Operations,2026-06-16 06:22:02
1034,Jack,Martin,jack.martin1034@fleetdemo.com,0427701894,123 Park St,LIC1034143,2026-07-02,Terminated,Sales,2026-05-07 13:03:30
1035,Mason,White,mason.white1035@fleetdemo.com,0439642925,154 George St,LIC1035574,2026-07-15,On Leave,Service,2026-10-02 02:03:22
1036,Grace,Smith,grace.smith1036@fleetdemo.com,0453033339,187 High St,LIC1036333,2026-09-25,On Leave,Service,2026-04-21 17:15:15
1037,Noah,Lee,noah.lee1037@fleetdemo.com,0457999706,109 George St,LIC1037721,2026-01-06,Active,Sales,2026-03-18 23:44:17
1038,James,Johnson,james.johnson1038@fleetdemo.com,0480433732,43 Park St,LIC1038959,2026-03-17,Active,Corporate,2026-03-29 01:06:11
1039,Liam,Walker,liam.walker1039@fleetdemo.com,0422369335,27 High St,LIC1039727,2026-07-31,Active,Sales,2026-07-22 05:20:13
1040,Isla,Brown,isla.brown1040@fleetdemo.com,0495293755,241 High St,LIC1040516,2026-11-06,Active,Operations,2026-01-24 08:39:22
1041,Grace,Lee,grace.lee1041@fleetdemo.com,0497790273,112 Park St,LIC1041465,2026-03-01,Active,Sales,2026-12-28 00:35:52
1042,Emma,Taylor,emma.taylor1042@fleetdemo.com,0415040769,63 King St,LIC1042175,2026-06-06,On Leave,Operations,2026-06-10 02:11:52
1043,Jack,White,jack.white1043@fleetdemo.com,0483407384,8 George St,LIC1043352,2026-10-11,On Leave,Corporate,2026-09-29 09:31:27
1044,Liam,Wilson,liam.wilson1044@fleetdemo.com,0450826971,29 Queen St,LIC1044787,2026-09-07,Active,Sales,2026-07-20 04:45:48
1045,James,King,james.king1045@fleetdemo.com,0458524112,202 King St,LIC1045577,2026-03-29,Active,Corporate,2026-06-01 17:20:26
1046,Ethan,Taylor,ethan.taylor1046@fleetdemo.com,0462356567,20 High St,LIC1046989,2026-01-17,Active,Corporate,2026-10-11 23:28:20
1047,Chloe,Brown,chloe.brown1047@fleetdemo.com,0426908588,32 High St,LIC1047982,2026-05-18,Active,Operations,2026-06-22 19:59:31
1048,Ethan,White,ethan.white1048@fleetdemo.com,0448756252,93 King St,LIC1048499,2026-12-30,Active,Operations,2026-08-19 05:30:44
1049,Jack,White,jack.white1049@fleetdemo.com,0421109264,200 King St,LIC1049493,2026-03-11,Active,Corporate,2026-02-24 14:13:49
1050,Mason,Smith,mason.smith1050@fleetdemo.com,0431819238,202 George St,LIC1050438,2026-01-13,Active,Sales,2026-06-27 17:11:59
1051,Lucas,Taylor,lucas.taylor1051@fleetdemo.com,0498758939,104 George St,LIC1051157,2026-02-28,Active,Operations,2026-02-22 04:02:38
1052,Jack,Smith,jack.smith1052@fleetdemo.com,0458175160,113 King St,LIC1052936,2026-04-03,Active,Corporate,2026-05-13 14:36:47
1053,Jack,Wilson,jack.wilson1053@fleetdemo.com,0421999476,173 George St,LIC1053398,2026-05-08,Active,Service,2026-11-02 14:22:05
1054,Emma,Smith,emma.smith1054@fleetdemo.com,0417778606,141 George St,LIC1054212,2026-12-26,Active,Sales,2026-02-18 14:09:03
1055,Ethan,Smith,ethan.smith1055@fleetdemo.com,0491160599,230 Park St,LIC1055369,2026-12-22,Active,Service,2026-05-24 22:20:39
1056,Jack,Wilson,jack.wilson1056@fleetdemo.com,0465950836,225 George St,LIC1056717,2026-04-23,Active,Operations,2026-11-07 20:56:29
1057,Sophia,Walker,sophia.walker1057@fleetdemo.com,0410389080,166 Queen St,LIC1057181,2026-05-28,Active,Service,2026-06-22 17:04:26
1058,Mason,Brown,mason.brown1058@fleetdemo.com,0490038034,245 Park St,LIC1058303,2026-06-04,Active,Operations,2026-03-16 10:35:09
1059,Emma,King,emma.king1059@fleetdemo.com,0458085805,110 High St,LIC1059390,2026-09-11,On Leave,Sales,2026-05-31 09:47:54
1060,James,Johnson,james.johnson1060@fleetdemo.com,0414176548,196 King St,LIC1060898,2026-03-16,Active,Operations,2026-02-22 23:10:46
1061,Chloe,Harris,chloe.harris1061@fleetdemo.com,0423608983,70 George St,LIC1061175,2026-05-21,Active,Service,2026-05-21 06:10:40
1062,Noah,Johnson,noah.johnson1062@fleetdemo.com,0465129620,24 Park St,LIC1062366,2026-07-21,Active,Operations,2026-09-16 17:43:18
1063,Ethan,Brown,ethan.brown1063@fleetdemo.com,0454263576,74 Queen St,LIC1063550,2026-04-02,Active,Operations,2026-08-29 12:27:34
1064,Olivia,Martin,olivia.martin1064@fleetdemo.com,0462111023,210 Queen St,LIC1064790,2026-03-12,Active,Sales,2026-05-31 10:59:04
1065,James,Lee,james.lee1065@fleetdemo.com,0438139531,62 George St,LIC1065927,2026-06-12,Active,Operations,2026-03-09 19:52:19
1066,Ethan,Johnson,ethan.johnson1066@fleetdemo.com,0466546274,44 High St,LIC1066947,2026-04-29,Active,Operations,2026-02-17 09:16:15
1067,Ava,Harris,ava.harris1067@fleetdemo.com,0462839999,69 Park St,LIC1067154,2026-09-05,Active,Sales,2026-12-06 19:50:36
1068,Liam,Johnson,liam.johnson1068@fleetdemo.com,0490187901,141 Queen St,LIC1068123,2026-09-16,Active,Service,2026-12-08 20:16:26
1069,Emma,Lee,emma.lee1069@fleetdemo.com,0438449767,128 George St,LIC1069532,2026-01-26,On Leave,Sales,2026-03-08 01:57:02
1070,Jack,Smith,jack.smith1070@fleetdemo.com,0483803600,57 George St,LIC1070559,2026-08-13,Terminated,Corporate,2026-08-10 02:40:14
1071,Chloe,Lee,chloe.lee1071@fleetdemo.com,0481779468,241 Queen St,LIC1071176,2026-11-19,On Leave,Operations,2026-06-20 14:44:37
1072,James,Walker,james.walker1072@fleetdemo.com,0451803299,180 George St,LIC1072313,2026-09-20,Active,Operations,2026-10-05 06:16:08
1073,James,Lee,james.lee1073@fleetdemo.com,0473417610,158 High St,LIC1073441,2026-09-15,Active,Corporate,2026-06-16 11:09:59
1074,Jack,Young,jack.young1074@fleetdemo.com,0423949606,23 George St,LIC1074321,2026-03-01,Active,Sales,2026-10-31 17:17:57
1075,Chloe,Young,chloe.young1075@fleetdemo.com,0488346834,78 Queen St,LIC1075622,2026-06-13,Active,Service,2026-06-09 14:33:33
1076,Mason,Wilson,mason.wilson1076@fleetdemo.com,0481606529,136 Park St,LIC1076193,2026-11-28,On Leave,Sales,2026-07-21 20:22:11
1077,Ava,Harris,ava.harris1077@fleetdemo.com,0499101677,154 George St,LIC1077564,2026-12-20,Active,Corporate,2026-01-12 10:30:07
1078,Sophia,Johnson,sophia.johnson1078@fleetdemo.com,0472464797,96 Queen St,LIC1078953,2026-07-29,Active,Service,2026-03-19 03:50:58
1079,Noah,Smith,noah.smith1079@fleetdemo.com,0460317423,14 Park St,LIC1079199,2026-07-10,Active,Corporate,2026-09-15 14:23:09
1080,Noah,Brown,noah.brown1080@fleetdemo.com,0498222369,159 George St,LIC1080337,2026-08-11,Active,Sales,2026-07-16 16:44:17
1081,Jack,King,jack.king1081@fleetdemo.com,0423345737,196 High St,LIC1081638,2026-10-21,Active,Corporate,2026-05-11 04:44:15
1082,Sophia,Harris,sophia.harris1082@fleetdemo.com,0494775864,217 High St,LIC1082904,2026-12-17,On Leave,Service,2026-05-12 04:55:17
1083,Jack,Martin,jack.martin1083@fleetdemo.com,0433683452,61 George St,LIC1083846,2026-10-04,Active,Sales,2026-05-24 07:28:04
1084,Isla,Smith,isla.smith1084@fleetdemo.com,0428831170,38 King St,LIC1084801,2026-09-24,Active,Sales,2026-10-27 13:53:22
1085,Ethan,Taylor,ethan.taylor1085@fleetdemo.com,0478267332,,LIC1085890,2026-07-08,Active,Operations,2026-07-02 18:17:02
1086,Noah,Johnson,noah.johnson1086@fleetdemo.com,0457000641,174 Park St,LIC1086753,2026-06-20,Active,Corporate,2026-10-17 22:12:18
1087,Mason,Martin,mason.martin1087@fleetdemo.com,0463191729,82 George St,LIC1087753,2026-06-16,On Leave,Operations,2026-05-08 02:47:06
1088,Mia,Martin,mia.martin1088@fleetdemo.com,0411941837,29 George St,LIC1088830,2026-05-17,Active,Sales,2026-09-29 23:56:35
1089,Ethan,King,ethan.king1089@fleetdemo.com,0485441085,122 Park St,LIC1089811,2026-05-13,Active,Operations,2026-03-13 17:06:07
1090,Noah,Young,noah.young1090@fleetdemo.com,0470234901,52 High St,LIC1090538,2026-09-06,Active,Service,2026-09-10 01:22:15
1091,Isla,Wilson,isla.wilson1091@fleetdemo.com,0446127112,245 Queen St,LIC1091657,2026-05-01,Active,Service,2026-03-21 22:26:40
1092,Ava,Smith,ava.smith1092@fleetdemo.com,0425851234,143 King St,LIC1092629,2026-01-04,Active,Corporate,2026-06-05 05:22:46
1093,Chloe,Martin,chloe.martin1093@fleetdemo.com,0418605308,205 King St,LIC1093287,2026-05-16,Active,Corporate,2026-10-14 06:21:45
1094,Mia,Brown,mia.brown1094@fleetdemo.com,0463139357,19 Queen St,LIC1094621,2026-12-31,Active,Sales,2026-04-10 20:54:03
1095,Olivia,King,olivia.king1095@fleetdemo.com,0426247084,95 King St,LIC1095294,2026-02-02,On Leave,Corporate,2026-11-14 17:24:05
1096,Jack,Young,jack.young1096@fleetdemo.com,0470196273,238 High St,LIC1096558,2026-10-05,Active,Operations,2026-02-06 11:22:46
1097,Isla,Johnson,isla.johnson1097@fleetdemo.com,0478115590,101 High St,LIC1097953,2026-11-24,Active,Service,2026-05-16 14:32:41
1098,Olivia,White,olivia.white1098@fleetdemo.com,0491294436,48 George St,LIC1098127,2026-06-22,Active,Service,2026-01-13 19:18:01
1099,Mason,Taylor,mason.taylor1099@fleetdemo.com,0448520926,81 Queen St,LIC1099255,2026-05-05,Active,Service,2026-03-29 22:06:59
1100,Ethan,Smith,ethan.smith1100@fleetdemo.com,0492628984,121 King St,LIC1100312,2026-05-09,Active,Corporate,2026-08-05 17:59:28
1101,Emma,Johnson,emma.johnson1101@fleetdemo.com,0431831908,51 High St,LIC1101593,2026-11-03,Active,Corporate,2026-06-29 21:43:39
1102,Ava,Johnson,ava.johnson1102@fleetdemo.com,0468566942,185 Queen St,LIC1102181,2026-09-10,Active,Corporate,2026-02-08 06:29:40
1103,Isla,Harris,isla.harris1103@fleetdemo.com,0453231821,98 Park St,LIC1103677,2026-08-26,Active,Sales,2026-10-28 16:23:03
1104,James,Wilson,james.wilson1104@fleetdemo.com,0465867113,203 Park St,LIC1104554,2026-09-20,Active,Sales,2026-10-29 18:52:23
1105,Liam,Wilson,liam.wilson1105@fleetdemo.com,0479829738,61 High St,LIC1105927,2026-10-14,Terminated,Corporate,2026-08-01 17:03:16
1106,Olivia,White,olivia.white1106@fleetdemo.com,0472517246,178 King St,LIC1106272,2026-05-14,Active,Sales,2026-02-24 06:25:07
1107,Ava,Johnson,ava.johnson1107@fleetdemo.com,0465828266,40 King St,LIC1107565,2026-04-15,Active,Sales,2026-04-26 05:28:36
1108,Emma,Harris,emma.harris1108@fleetdemo.com,0489736641,13 Queen St,LIC1108886,2026-03-16,Active,Operations,2026-03-12 06:10:28
1109,Noah,White,noah.white1109@fleetdemo.com,0493570667,171 King St,LIC1109433,2026-01-16,Active,Operations,2026-05-15 22:16:45
1110,Emma,Brown,emma.brown1110@fleetdemo.com,0433454984,234 High St,LIC1110545,2026-03-08,Active,Operations,2026-08-24 08:47:10
1111,Jack,Taylor,jack.taylor1111@fleetdemo.com,0497840736,27 High St,LIC1111259,2026-04-03,Active,Sales,2026-06-24 23:34:19
1112,Ava,Wilson,ava.wilson1112@fleetdemo.com,0488101383,95 High St,LIC1112123,2026-08-28,Active,Corporate,2026-06-17 17:20:46
1113,Chloe,Harris,chloe.harris1113@fleetdemo.com,0431437865,235 Park St,LIC1113247,2026-03-16,Active,Corporate,2026-07-16 10:06:58
1114,Noah,Young,noah.young1114@fleetdemo.com,0488858933,180 King St,LIC1114262,2026-07-25,Active,Corporate,2026-12-15 00:48:25
1115,Chloe,Brown,chloe.brown1115@fleetdemo.com,0422676269,78 King St,LIC1115817,2026-01-07,Active,Corporate,2026-03-31 19:53:37
1116,Ethan,Young,ethan.young1116@fleetdemo.com,0441103658,203 Park St,LIC1116542,2026-12-24,Active,Operations,2026-11-04 00:42:28
1117,Liam,Johnson,liam.johnson1117@fleetdemo.com,0485385075,77 Queen St,LIC1117341,2026-02-28,Active,Sales,2026-01-04 10:29:57
1118,Jack,King,jack.king1118@fleetdemo.com,0422150277,105 Park St,LIC1118409,2026-07-09,Active,Corporate,2026-05-06 12:24:57
1119,Ethan,Brown,ethan.brown1119@fleetdemo.com,0468527462,140 Queen St,LIC1119198,2026-10-23,Active,Operations,2026-02-24 22:10:07
1120,Liam,White,liam.white1120@fleetdemo.com,0427079189,113 High St,LIC1120971,2026-04-28,Active,Corporate,2026-07-06 08:20:25
1121,Sophia,White,sophia.white1121@fleetdemo.com,0426699606,60 Queen St,LIC1121819,2026-04-09,Active,Operations,2026-02-10 04:39:41
1122,James,Young,james.young1122@fleetdemo.com,0456540538,96 High St,LIC1122558,2026-05-31,Active,Sales,2026-03-11 16:29:11
1123,Jack,Young,jack.young1123@fleetdemo.com,0454605767,53 High St,LIC1123873,2026-02-25,Active,Sales,2026-10-14 03:35:56
1124,Ava,Lee,ava.lee1124@fleetdemo.com,0459915822,97 King St,LIC1124364,2026-08-11,Active,Corporate,2026-07-27 14:37:49
1125,Chloe,Lee,chloe.lee1125@fleetdemo.com,0497551151,2 King St,LIC1125586,2026-03-29,Active,Sales,2026-03-02 02:31:23
1126,Grace,White,grace.white1126@fleetdemo.com,0469701029,207 Park St,LIC1126428,2026-10-04,Active,Corporate,2026-05-11 18:57:22
1127,Mia,Young,mia.young1127@fleetdemo.com,0417268785,61 George St,LIC1127365,2026-02-21,Active,Sales,2026-07-10 21:23:52
1128,Noah,Young,noah.young1128@fleetdemo.com,0497688358,234 King St,LIC1128347,2026-07-26,Active,Service,2026-11-01 04:13:03
1129,Lucas,Walker,lucas.walker1129@fleetdemo.com,0473674572,15 High St,LIC1129676,2026-06-12,Active,Service,2026-11-05 05:59:06
1130,Noah,Brown,noah.brown1130@fleetdemo.com,0441163681,190 High St,LIC1130764,2026-04-28,On Leave,Service,2026-03-07 05:17:59
1131,Lucas,Johnson,lucas.johnson1131@fleetdemo.com,0471374665,,LIC1131734,2026-01-16,Active,Sales,2026-06-30 07:37:29
1132,Ava,Lee,ava.lee1132@fleetdemo.com,0440745053,27 Park St,LIC1132606,2026-01-16,On Leave,Service,2026-11-25 05:38:05
1133,Noah,Taylor,noah.taylor1133@fleetdemo.com,0439811692,6 George St,LIC1133174,2026-07-18,Active,Corporate,2026-07-28 18:07:32
1134,Jack,Martin,jack.martin1134@fleetdemo.com,0449065511,164 King St,LIC1134432,2026-11-07,Active,Sales,2026-07-20 13:00:33
1135,Grace,Taylor,grace.taylor1135@fleetdemo.com,0435832777,9 Park St,LIC1135298,2026-09-01,On Leave,Service,2026-12-01 07:28:00
1136,Mia,Johnson,mia.johnson1136@fleetdemo.com,0428383102,138 High St,LIC1136428,2026-02-19,Active,Operations,2026-05-25 12:23:03
1137,Jack,Taylor,jack.taylor1137@fleetdemo.com,0458958451,28 Park St,LIC1137548,2026-11-28,Active,Operations,2026-05-24 16:06:57
1138,Grace,Harris,grace.harris1138@fleetdemo.com,0415625673,166 Park St,LIC1138500,2026-10-09,Active,Service,2026-09-12 15:50:13
1139,Olivia,Wilson,olivia.wilson1139@fleetdemo.com,0495273042,51 Queen St,LIC1139757,2026-06-09,Active,Service,2026-03-20 17:05:05
1140,Grace,White,grace.white1140@fleetdemo.com,0447808102,237 High St,LIC1140697,2026-09-30,Active,Service,2026-12-20 17:43:48
1141,Jack,Martin,jack.martin1141@fleetdemo.com,0459540690,131 Park St,LIC1141475,2026-03-03,Active,Operations,2026-09-08 19:13:46
1142,Noah,Wilson,noah.wilson1142@fleetdemo.com,0495866718,112 George St,LIC1142782,2026-05-21,Active,Corporate,2026-09-08 03:07:39
1143,Emma,Taylor,emma.taylor1143@fleetdemo.com,0454095784,7 King St,LIC1143766,2026-03-30,Active,Sales,2026-04-12 18:55:18
1144,Emma,Lee,emma.lee1144@fleetdemo.com,0428360930,236 Park St,LIC1144626,2026-05-29,Active,Sales,2026-12-24 18:52:06
1145,James,Brown,james.brown1145@fleetdemo.com,0494996119,152 Park St,LIC1145332,2026-12-20,Active,Sales,2026-01-21 20:46:03
1146,Mason,Martin,mason.martin1146@fleetdemo.com,0455810096,87 King St,LIC1146788,2026-06-02,Active,Operations,2026-07-28 18:28:21
1147,Liam,Young,liam.young1147@fleetdemo.com,0461039237,244 King St,LIC1147959,2026-08-12,Active,Service,2026-03-29 13:24:38
1148,Sophia,Walker,sophia.walker1148@fleetdemo.com,0488379124,150 George St,LIC1148289,2026-10-22,Active,Service,2026-10-29 21:14:00
1149,Mia,King,mia.king1149@fleetdemo.com,0424742287,5 High St,LIC1149118,2026-08-31,On Leave,Operations,2026-06-05 21:30:26
1150,Olivia,Wilson,olivia.wilson1150@fleetdemo.com,0422805733,34 Queen St,LIC1150762,2026-03-15,On Leave,Sales,2026-03-15 16:24:18
1151,Ava,Taylor,ava.taylor1151@fleetdemo.com,0469372572,6 George St,LIC1151171,2026-07-16,Active,Service,2026-08-03 15:08:48
1152,Noah,King,noah.king1152@fleetdemo.com,0432116165,189 High St,LIC1152859,2026-07-05,Active,Sales,2026-02-14 15:32:58
1153,Lucas,Brown,lucas.brown1153@fleetdemo.com,0471925098,17 Queen St,LIC1153967,2026-12-04,Active,Operations,2026-02-25 09:47:44
1154,Isla,Martin,isla.martin1154@fleetdemo.com,0488438040,137 King St,LIC1154940,2026-08-04,Active,Sales,2026-04-06 05:54:34
1155,Noah,Brown,noah.brown1155@fleetdemo.com,0445670096,197 Park St,LIC1155413,2026-02-06,Active,Operations,2026-09-22 14:47:42
1156,Liam,White,liam.white1156@fleetdemo.com,0458696552,249 George St,LIC1156344,2026-07-19,On Leave,Operations,2026-11-09 02:05:19
1157,Olivia,King,olivia.king1157@fleetdemo.com,0447531847,21 Park St,LIC1157767,2026-11-04,Active,Sales,2026-05-23 19:33:44
1158,Mason,White,mason.white1158@fleetdemo.com,0472551086,221 Park St,LIC1158314,2026-08-04,Active,Operations,2026-01-29 16:15:47
1159,Ava,Smith,ava.smith1159@fleetdemo.com,0424489695,26 High St,LIC1159500,2026-03-18,Active,Operations,2026-12-23 09:50:33
1160,Ethan,King,ethan.king1160@fleetdemo.com,0499044140,53 Queen St,LIC1160845,2026-12-18,Active,Sales,2026-08-30 23:12:17
1161,Mason,Harris,mason.harris1161@fleetdemo.com,0496038148,179 Queen St,LIC1161975,2026-04-11,Active,Corporate,2026-01-08 01:55:16
1162,Mason,Brown,mason.brown1162@fleetdemo.com,0446840493,218 Park St,LIC1162179,2026-04-12,Active,Corporate,2026-05-12 12:03:59
1163,Olivia,Wilson,olivia.wilson1163@fleetdemo.com,0472356055,172 King St,LIC1163901,2026-08-30,On Leave,Service,2026-07-27 02:00:47
1164,Chloe,Walker,chloe.walker1164@fleetdemo.com,0453651530,227 High St,LIC1164747,2026-09-07,On Leave,Service,2026-03-07 17:24:32
1165,Emma,Taylor,emma.taylor1165@fleetdemo.com,0496972045,117 Queen St,LIC1165173,2026-02-06,Active,Sales,2026-06-23 00:22:54
1166,Lucas,Taylor,lucas.taylor1166@fleetdemo.com,0462247313,80 Queen St,LIC1166649,2026-10-22,On Leave,Service,2026-09-17 18:15:22
1167,Isla,Walker,isla.walker1167@fleetdemo.com,0489383581,141 George St,LIC1167842,2026-07-24,Active,Sales,2026-02-23 21:41:39
1168,Mia,Lee,mia.lee1168@fleetdemo.com,0428624473,248 High St,LIC1168840,2026-02-17,On Leave,Service,2026-02-24 09:40:16
1169,Ava,Taylor,ava.taylor1169@fleetdemo.com,0421427291,26 Park St,LIC1169958,2026-08-15,On Leave,Service,2026-02-23 03:58:34
1170,Sophia,Young,sophia.young1170@fleetdemo.com,0468656263,76 George St,LIC1170352,2026-12-22,Terminated,Operations,2026-12-11 11:27:25
1171,Ethan,Lee,ethan.lee1171@fleetdemo.com,0459788451,109 George St,LIC1171368,2026-12-02,Active,Service,2026-06-29 07:32:02
1172,Jack,Walker,jack.walker1172@fleetdemo.com,0438899661,117 George St,LIC1172314,2026-03-26,On Leave,Sales,2026-07-18 22:25:09
1173,Mason,Young,mason.young1173@fleetdemo.com,0450344848,34 Queen St,LIC1173288,2026-04-21,Active,Service,2026-11-16 06:34:33
1174,Emma,Lee,emma.lee1174@fleetdemo.com,0470248376,193 King St,LIC1174107,2026-04-23,Active,Operations,2026-11-30 10:55:21
1175,Chloe,Taylor,chloe.taylor1175@fleetdemo.com,0468795134,112 King St,LIC1175933,2026-04-26,Active,Operations,2026-10-09 22:47:52
1176,Isla,Taylor,isla.taylor1176@fleetdemo.com,0469339990,58 George St,LIC1176975,2026-01-16,Active,Sales,2026-12-06 22:07:07
1177,Lucas,King,lucas.king1177@fleetdemo.com,0499513157,213 Park St,LIC1177165,2026-03-17,Active,Sales,2026-01-09 14:13:49
1178,Mason,Walker,mason.walker1178@fleetdemo.com,0429832771,32 King St,LIC1178282,2026-11-01,Active,Operations,2026-01-23 23:52:51
1179,Isla,Brown,isla.brown1179@fleetdemo.com,0442508380,,LIC1179784,2026-11-15,On Leave,Service,2026-03-12 15:05:09
1180,Chloe,Lee,chloe.lee1180@fleetdemo.com,0475331514,25 George St,LIC1180965,2026-09-27,Terminated,Service,2026-03-24 12:51:19
1181,Isla,Young,isla.young1181@fleetdemo.com,0461499830,154 Queen St,LIC1181861,2026-07-15,Active,Sales,2026-03-09 07:32:51
1182,Emma,Johnson,emma.johnson1182@fleetdemo.com,0433889619,128 George St,LIC1182512,2026-11-26,Active,Corporate,2026-11-01 15:42:09
1183,Isla,Walker,isla.walker1183@fleetdemo.com,0471726976,185 Queen St,LIC1183957,2026-02-25,Active,Sales,2026-11-08 15:54:56
1184,Grace,Martin,grace.martin1184@fleetdemo.com,0453663019,226 George St,LIC1184309,2026-05-25,Active,Operations,2026-03-20 21:54:33
1185,Liam,Martin,liam.martin1185@fleetdemo.com,0498638323,105 George St,LIC1185883,2026-11-27,Active,Corporate,2026-06-26 07:58:40
1186,Emma,Taylor,emma.taylor1186@fleetdemo.com,0461206298,31 Park St,LIC1186664,2026-08-23,Active,Operations,2026-09-11 21:38:02
1187,Emma,Taylor,emma.taylor1187@fleetdemo.com,0415914242,57 Park St,LIC1187897,2026-11-19,Active,Sales,2026-03-09 08:29:13
1188,Liam,Lee,liam.lee1188@fleetdemo.com,0448407765,194 King St,LIC1188698,2026-02-10,Active,Service,2026-06-18 23:11:54
1189,Jack,Brown,jack.brown1189@fleetdemo.com,0411908884,84 High St,LIC1189516,2026-11-15,On Leave,Service,2026-08-09 18:09:55
